epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,3554.28,1.29003,1.08064,1.14638,0.45492,0.42814,0.41471,0.25467,1.27002,1.53839,1.11004,0.00307,0.00307,0.00307
72,3604.55,1.2559,1.05857,1.12043,0.49482,0.45512,0.45202,0.2776,1.26018,1.3729,1.09719,0.002971,0.002971,0.002971
73,3654.66,1.29105,1.05941,1.13043,0.58692,0.45288,0.45994,0.27251,1.29949,1.34109,1.11473,0.002872,0.002872,0.002872
74,3704.64,1.27929,1.04306,1.12993,0.54482,0.43721,0.43827,0.25357,1.38961,1.39435,1.13692,0.002773,0.002773,0.002773
75,3754.61,1.28006,1.04717,1.12172,0.56897,0.39167,0.41561,0.2576,1.28909,1.55223,1.12268,0.002674,0.002674,0.002674
76,3804.52,1.28587,1.04795,1.13047,0.45875,0.42264,0.40582,0.24697,1.27427,1.55412,1.11576,0.002575,0.002575,0.002575
77,3854.44,1.29265,1.04316,1.1293,0.43696,0.43322,0.39722,0.24278,1.24553,1.63062,1.11382,0.002476,0.002476,0.002476
78,3904.32,1.28477,1.01991,1.12842,0.43448,0.51224,0.44518,0.26571,1.31741,1.48073,1.12711,0.002377,0.002377,0.002377
79,3954.31,1.27132,1.00033,1.12027,0.43486,0.37419,0.33435,0.19928,1.36878,1.96417,1.17428,0.002278,0.002278,0.002278
80,4004.1,1.26292,0.99541,1.12859,0.48688,0.43895,0.41789,0.24211,1.38015,1.54172,1.14679,0.002179,0.002179,0.002179
81,4053.92,1.26517,1.00928,1.11858,0.44677,0.45065,0.40744,0.24752,1.27665,1.60399,1.12061,0.00208,0.00208,0.00208
82,4103.78,1.24817,0.99569,1.11171,0.45332,0.45333,0.40455,0.24302,1.31588,1.60354,1.12364,0.001981,0.001981,0.001981
83,4153.55,1.23861,0.9885,1.10883,0.4615,0.4388,0.41128,0.25177,1.27101,1.48191,1.09912,0.001882,0.001882,0.001882
84,4203.37,1.22038,0.95086,1.08904,0.46934,0.46293,0.43589,0.26177,1.29984,1.47926,1.11727,0.001783,0.001783,0.001783
85,4253.09,1.25087,1.00117,1.11148,0.49077,0.41624,0.41546,0.25649,1.21811,1.54913,1.09592,0.001684,0.001684,0.001684
86,4303.05,1.24305,0.98453,1.10143,0.56797,0.47665,0.4838,0.29616,1.24522,1.38499,1.09485,0.001585,0.001585,0.001585
87,4352.96,1.2224,0.9643,1.10666,0.53812,0.46898,0.47477,0.29096,1.26354,1.41485,1.1095,0.001486,0.001486,0.001486
88,4402.73,1.23261,0.95882,1.09904,0.50024,0.50314,0.47776,0.29876,1.22097,1.3364,1.0847,0.001387,0.001387,0.001387
89,4452.66,1.23013,0.94726,1.09258,0.471,0.51579,0.45725,0.28366,1.20433,1.41383,1.08137,0.001288,0.001288,0.001288
90,4502.47,1.18768,0.90711,1.06889,0.46516,0.47508,0.44805,0.27921,1.20714,1.45174,1.09682,0.001189,0.001189,0.001189
91,4552.49,0.98704,0.73861,0.97941,0.51724,0.51467,0.49696,0.31327,1.2195,1.29888,1.08061,0.00109,0.00109,0.00109
92,4602.34,0.97648,0.68428,0.98343,0.53274,0.51691,0.49522,0.31568,1.15424,1.32749,1.06415,0.000991,0.000991,0.000991
93,4652.27,0.94381,0.64834,0.9655,0.54922,0.54635,0.52843,0.32947,1.20278,1.25228,1.08131,0.000892,0.000892,0.000892
94,4701.99,0.94873,0.62597,0.97344,0.56398,0.53422,0.52784,0.33352,1.19907,1.213,1.09577,0.000793,0.000793,0.000793
95,4751.72,0.9693,0.62354,0.98066,0.55786,0.55179,0.5189,0.33654,1.16982,1.21979,1.09086,0.000694,0.000694,0.000694
96,4801.68,0.93685,0.62672,0.96586,0.54896,0.50012,0.49455,0.32051,1.17018,1.25805,1.08253,0.000595,0.000595,0.000595
97,4851.32,0.93863,0.60243,0.97591,0.56126,0.50325,0.49855,0.32233,1.16609,1.27433,1.07679,0.000496,0.000496,0.000496
98,4900.95,0.91932,0.6423,0.97025,0.57613,0.49856,0.49311,0.31793,1.16034,1.26969,1.06959,0.000397,0.000397,0.000397
99,4950.59,0.92117,0.61468,0.94926,0.55005,0.50528,0.48656,0.31535,1.16923,1.25965,1.07046,0.000298,0.000298,0.000298
100,5000.22,0.90156,0.57168,0.95518,0.56021,0.49272,0.49407,0.32067,1.16345,1.24607,1.0731,0.000199,0.000199,0.000199
